City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Jinchang,CN,38.4953,102.1739,51.26,21,20,8.21,few clouds
228,Kalmunai,LK,7.4167,81.8167,78.8,83,3,5.57,clear sky
229,Kungurtug,RU,50.5994,97.5228,-2.47,84,61,2.26,broken clouds
230,Ebebiyin,GQ,2.1511,11.3353,73.33,93,55,5.75,moderate rain
231,Inta,RU,66.0317,60.1659,20.91,89,100,19.98,overcast clouds
232,Kahului,US,20.8947,-156.47,64.99,94,1,3.44,clear sky
233,Luderitz,NA,-26.6481,15.1594,70.41,71,20,23.31,few clouds
234,Teguldet,RU,57.3064,88.1667,0.66,97,100,5.41,overcast clouds
235,Ancud,CL,-41.8697,-73.8203,70.0,56,0,8.05,clear sky
236,Asau,RO,46.4333,26.4,48.0,49,98,2.93,overcast clouds
237,Mar Del Plata,AR,-38.0023,-57.5575,77.0,57,0,6.91,light rain
238,Pipri,IN,19.8,75.5333,77.36,20,0,3.18,clear sky
239,Hamilton,US,39.1834,-84.5333,53.01,37,90,4.83,overcast clouds
240,Khatanga,RU,71.9667,102.5,-18.65,96,100,8.37,overcast clouds
241,Port Augusta,AU,-32.5,137.7667,60.8,67,40,10.36,scattered clouds
242,Lufkin,US,31.3382,-94.7291,73.99,83,90,12.66,overcast clouds
243,Kavieng,PG,-2.5744,150.7967,81.41,71,96,4.05,overcast clouds
244,Sangar,RU,63.9242,127.4739,8.28,95,100,7.07,light snow
245,Sitka,US,57.0531,-135.33,24.8,74,20,3.62,few clouds
246,Port Hardy,CA,50.6996,-127.4199,35.6,93,90,10.36,light snow
247,Georgetown,MY,5.4112,100.3354,84.2,74,20,4.61,few clouds
248,Longyearbyen,SJ,78.2186,15.6401,1.4,55,75,9.22,broken clouds
249,Shakiso,ET,5.75,38.9167,66.49,53,20,4.61,few clouds
250,Aberdeen,GB,57.1437,-2.0981,48.2,49,20,18.41,few clouds
251,Surt,LY,31.2089,16.5887,60.87,66,0,9.91,clear sky
252,Airai,TL,-8.9266,125.4092,60.31,94,100,1.48,overcast clouds
253,Badhni Kalan,IN,30.6833,75.2833,69.15,30,0,5.55,clear sky
254,Calderitas,MX,18.55,-88.25,87.01,69,40,11.5,scattered clouds
255,Kaitangata,NZ,-46.2817,169.8464,54.77,73,69,3.44,moderate rain
256,San Andres,CO,12.5847,-81.7006,84.2,65,40,14.97,scattered clouds
257,Ahipara,NZ,-35.1667,173.1667,59.32,82,0,3.0,clear sky
258,Pokrovskoye,RU,47.4157,38.8971,42.01,60,92,15.99,overcast clouds
259,Talca,CL,-35.4333,-71.6667,69.8,60,0,3.44,clear sky
260,Bathsheba,BB,13.2167,-59.5167,82.4,65,20,16.11,few clouds
261,Calamar,CO,10.2511,-74.9146,86.0,66,40,10.36,scattered clouds
262,Coquimbo,CL,-29.9533,-71.3436,64.4,72,90,9.22,overcast clouds
263,Launceston,AU,-41.45,147.1667,55.4,76,90,17.27,overcast clouds
264,Cidreira,BR,-30.1811,-50.2056,78.3,76,4,10.94,clear sky
265,Santa Maria,BR,-29.6842,-53.8069,86.0,54,0,4.61,clear sky
266,Forestville,US,38.8451,-76.875,61.0,26,1,14.97,clear sky
267,Bari,IT,41.1177,16.8512,61.0,44,0,11.5,clear sky
268,Praya,CV,14.9215,-23.5087,82.4,21,0,19.57,clear sky
269,Haines Junction,CA,60.7522,-137.5108,-25.6,68,0,1.14,clear sky
270,Roma,US,43.2128,-75.4557,33.8,69,90,18.41,light snow
271,Nikolskoye,RU,59.7035,30.7861,36.0,93,90,8.95,snow
272,Maceio,BR,-9.6658,-35.7353,86.0,51,40,10.36,scattered clouds
273,Nemuro,JP,43.3236,145.575,33.73,91,100,23.98,overcast clouds
274,Nova Olimpia,BR,-14.7972,-57.2881,84.78,69,91,4.63,overcast clouds
275,Sechura,PE,-5.5569,-80.8222,83.21,53,23,5.75,few clouds
